"program" "Adult.Education" "Anthropology" "Social.Studies" "Physiology" "Behavior.Analysis" "Linguistics" "Art.Education" "Teaching.English" "Arts.Administration" "Bilingual.Bicultural.Education" "Clinical.Psychology" "Cognitive.Science" "College.Advising" "Communication.Sciences.and.Disorders" "Cooperation.and.Conflict.Resolution" "Creative.Technologies" "Curriculum.and.Teaching" "Dance.Education" "Deaf.and.Hard.of.Hearing" "Design.and.Development.of.Digital.Games" "Developmental.Psychology" "Diabetes.Education" "Early.Childhood.Education" "Early.Childhood.Special.Education" "Economics.and.Education" "Education.Technology" "Education.Leadership" "Education.Policy" "Inclusive.Education" "English.Education" "Change.Leadership" "Nursing" "Gifted.Education" "Health.Education" "Higher.and.Postsecondary.Education" "History" "Instructional.Technology.and.Media" "Intellectual.Disability.Autism" "International.and.Comparative.Education" "Kinesiology" "Learning.Analytics" "Literacy" "Mathematics" "Measurement..Evaluation.and.Statistics" "Motor.Learning.and.Control" "Movement.Science" "Music" "Neuroscience" "Nutrition" "Leadership" "Philosophy" "Physical.Education" "Politics" "Private.School.Leadership" "Psychological.Counseling" "Psychology" "Reading" "School.Psychology" "Science.Education" "Sexuality..Women.and.Gender.in.Psychology" "Social.Organizational.Psychology" "Sociology" "Spirituality.Mind.Body" "School.Principals" "Urban.Education" "Counseling.Psychology" "Communication.Media.and.Learning.Technologies" "cluster"
"Adult.Education" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Anthropology" 0 0 3 1 1 3 2 0 0 0 1 1 1 1 0 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 2 4 0 1 2 1 0 0 0 0 2 0 0 1 0 0 3 1 1 0 0 0 3 0 1 3 1 3 3 1 1 0 0 3
"Social.Studies" 1 2 0 1 3 2 1 3 7 3 5 1 0 4 3 0 1 2 1 1 2 3 2 0 3 1 2 2 2 2 6 4 1 1 0 6 2 0 0 1 4 4 1 4 0 0 3 4 0 3 2 1 5 3 0 3 4 1 0 3 3 3 3 3 6 1 1 7
"Physiology" 0 2 0 0 2 0 0 1 0 0 2 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 7 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 4
"Behavior.Analysis" 1 1 1 4 0 0 0 1 2 0 3 4 1 0 2 1 0 0 0 0 2 0 1 0 2 3 1 1 1 0 1 1 2 2 0 0 1 0 0 1 2 2 1 4 1 1 0 3 2 1 1 2 1 0 2 5 0 2 1 3 1 4 3 1 0 3 0 1
"Linguistics" 1 4 1 0 0 0 0 6 0 2 0 1 1 2 1 0 1 0 1 0 0 0 1 2 0 0 0 1 0 5 0 1 0 0 0 1 0 0 0 0 0 3 0 1 1 0 1 0 0 0 0 0 0 1 0 1 2 1 0 0 2 1 0 0 0 1 1 2
"Art.Education" 0 1 1 1 0 0 0 0 3 1 0 0 0 0 0 6 0 3 0 1 0 0 0 3 1 1 0 1 0 1 0 0 2 0 0 1 1 0 0 0 1 0 1 0 1 1 2 0 0 1 2 4 2 0 0 0 1 0 0 1 0 0 1 0 1 0 0 6
"Teaching.English" 0 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 2 0 1 5 1 0 1 0 1 0 6 0 0 0 0 1 1 0 1 2 1 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2
"Arts.Administration" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 2 1 0 0 0 1 0 0 0 2 1 0 0 2 0 0 0 1 0 0 1 0 0 1 0 0 1 0 2 0 1 6
"Bilingual.Bicultural.Education" 1 2 0 0 1 3 0 4 0 0 1 0 2 2 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 3 0 0 0 0 0 0 1 3 3 0 0 2 0 0 0 0 0 0 1 0 2 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 2
